Cluster,Persona,Size,Percentage,Avg Frequency,Avg Monetary,Avg Order Value,Avg Recency,Strategy
0,Lapsed Customers,153,12.9%,1.0,$1015.05,$1016.77,451 days,"Re-engagement campaigns, win-back offers"
1,Lapsed Customers,170,14.3%,1.0,$962.64,$961.78,443 days,"Re-engagement campaigns, win-back offers"
2,Lapsed Customers,170,14.3%,1.0,$1160.47,$1167.17,456 days,"Re-engagement campaigns, win-back offers"
3,Lapsed Customers,174,14.6%,1.0,$1045.51,$1032.72,483 days,"Re-engagement campaigns, win-back offers"
4,Lapsed Customers,159,13.4%,1.0,$1058.49,$1059.56,477 days,"Re-engagement campaigns, win-back offers"
5,Lapsed Customers,174,14.6%,1.0,$1055.79,$1059.93,466 days,"Re-engagement campaigns, win-back offers"
6,Elite Spenders,11,0.9%,2.0,$2002.02,$1119.65,313 days,"VIP loyalty programs, exclusive previews, personal..."
7,Lapsed Customers,178,15.0%,1.0,$1081.92,$1082.01,475 days,"Re-engagement campaigns, win-back offers"
